ship_mode,segment,country,city,state,postal_code,region,category,sub-category,sales,quantity,discount,profit,profit_margin,outlier_column
Second Class,Corporate,United States,Philadelphia,Pennsylvania,19140.0,East,Office Supplies,Binders,509.97,10.0,0.7,-407.976,-0.7999999999999999,sales
First Class,Home Office,United States,New York City,New York,10009.0,East,Office Supplies,Binders,4355.168,4.0,0.2,1415.4296,0.325,sales
First Class,Corporate,United States,Columbus,Georgia,31907.0,South,Office Supplies,Appliances,647.84,8.0,0.0,168.4384,0.26,sales
Same Day,Corporate,United States,Manchester,Connecticut,6040.0,East,Furniture,Bookcases,1043.92,4.0,0.0,271.4192,0.25999999999999995,sales
Standard Class,Consumer,United States,Tucson,Arizona,85705.0,West,Technology,Accessories,1023.936,8.0,0.2,179.1888,0.175,sales
Standard Class,Corporate,United States,Franklin,Massachusetts,2038.0,East,Furniture,Tables,1488.424,7.0,0.3,-297.6848,-0.2,sales
Second Class,Consumer,United States,Des Moines,Washington,98198.0,West,Technology,Copiers,1799.97,3.0,0.0,701.9883,0.38999999999999996,sales
Second Class,Consumer,United States,Houston,Texas,77036.0,Central,Furniture,Bookcases,2396.2656,4.0,0.32,-317.1528,-0.1323529411764706,sales
Standard Class,Consumer,United States,San Francisco,California,94110.0,West,Technology,Copiers,1199.976,3.0,0.2,434.9913,0.3625,sales
Standard Class,Consumer,United States,San Francisco,California,94110.0,West,Furniture,Tables,1004.024,7.0,0.2,-112.9527,-0.11249999999999999,sales
Standard Class,Consumer,United States,San Francisco,California,94110.0,West,Furniture,Bookcases,1336.829,13.0,0.15,31.4548,0.023529411764705882,sales
Second Class,Consumer,United States,Jackson,Mississippi,39212.0,South,Furniture,Chairs,866.4,4.0,0.0,225.264,0.26,sales
First Class,Consumer,United States,Lowell,Massachusetts,1852.0,East,Office Supplies,Storage,714.3,5.0,0.0,207.147,0.29,sales
Second Class,Home Office,United States,Chicago,Illinois,60623.0,Central,Technology,Machines,1007.979,3.0,0.3,43.1991,0.04285714285714286,sales
Standard Class,Corporate,United States,Akron,Ohio,44312.0,East,Office Supplies,Storage,665.408,2.0,0.2,66.5408,0.1,sales
Standard Class,Consumer,United States,Decatur,Illinois,62521.0,Central,Furniture,Chairs,747.558,3.0,0.3,-96.1146,-0.12857142857142856,sales
Standard Class,Consumer,United States,Seattle,Washington,98115.0,West,Technology,Accessories,899.91,9.0,0.0,377.9622,0.42,sales
Standard Class,Home Office,United States,Phoenix,Arizona,85023.0,West,Furniture,Tables,1272.63,6.0,0.5,-814.4832,-0.6399999999999999,sales
Second Class,Consumer,United States,San Francisco,California,94110.0,West,Technology,Phones,703.968,4.0,0.2,87.996,0.125,sales
Standard Class,Corporate,United States,New York City,New York,10024.0,East,Office Supplies,Storage,704.25,5.0,0.0,84.51,0.12000000000000001,sales
First Class,Home Office,United States,Los Angeles,California,90045.0,West,Furniture,Bookcases,514.165,5.0,0.15,-30.245,-0.05882352941176471,sales
First Class,Consumer,United States,Chicago,Illinois,60610.0,Central,Technology,Phones,2735.952,6.0,0.2,341.994,0.125,sales
Standard Class,Corporate,United States,Parker,Colorado,80134.0,West,Furniture,Chairs,801.568,2.0,0.2,50.098,0.0625,sales
Standard Class,Consumer,United States,Atlanta,Georgia,30318.0,South,Office Supplies,Binders,6354.95,5.0,0.0,3177.475,0.5,sales
Standard Class,Home Office,United States,Great Falls,Montana,59405.0,West,Technology,Copiers,2999.95,5.0,0.0,1379.977,0.4600000000000001,sales
Standard Class,Home Office,United States,Great Falls,Montana,59405.0,West,Office Supplies,Storage,1126.02,3.0,0.0,56.301,0.05,sales
Standard Class,Home Office,United States,Lakeland,Florida,33801.0,South,Furniture,Chairs,683.952,3.0,0.2,42.747,0.0625,sales
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19134.0,East,Office Supplies,Supplies,666.248,1.0,0.2,-149.9058,-0.22499999999999998,sales
Second Class,Consumer,United States,Montgomery,Alabama,36116.0,South,Technology,Phones,979.95,5.0,0.0,274.386,0.28,sales
Standard Class,Consumer,United States,Springfield,Ohio,45503.0,East,Office Supplies,Storage,646.776,9.0,0.2,-145.5246,-0.225,sales
Second Class,Consumer,United States,San Francisco,California,94110.0,West,Furniture,Chairs,1121.568,2.0,0.2,0.0,0.0,sales
Second Class,Corporate,United States,Anaheim,California,92804.0,West,Office Supplies,Storage,1295.78,2.0,0.0,310.9872,0.24,sales
Standard Class,Consumer,United States,Los Angeles,California,90045.0,West,Furniture,Tables,1335.68,4.0,0.2,-217.048,-0.1625,sales
Standard Class,Consumer,United States,San Diego,California,92024.0,West,Technology,Copiers,1199.976,3.0,0.2,434.9913,0.3625,sales
Second Class,Corporate,United States,Philadelphia,Pennsylvania,19143.0,East,Technology,Phones,728.946,9.0,0.4,-157.9383,-0.21666666666666665,sales
Standard Class,Corporate,United States,Dearborn,Michigan,48126.0,Central,Office Supplies,Appliances,555.21,5.0,0.1,178.901,0.32222222222222224,sales
Standard Class,Corporate,United States,Dearborn,Michigan,48126.0,Central,Office Supplies,Storage,523.48,4.0,0.0,130.87,0.25,sales
Standard Class,Home Office,United States,Vallejo,California,94591.0,West,Furniture,Furnishings,1049.2,5.0,0.0,272.792,0.25999999999999995,sales
Same Day,Home Office,United States,Aurora,Illinois,60505.0,Central,Furniture,Chairs,701.372,2.0,0.3,-50.098,-0.07142857142857142,sales
Standard Class,Consumer,United States,Arlington,Texas,76017.0,Central,Office Supplies,Storage,999.432,7.0,0.2,124.929,0.125,sales
Standard Class,Consumer,United States,Arlington,Texas,76017.0,Central,Office Supplies,Storage,724.08,14.0,0.2,-135.765,-0.18749999999999997,sales
Standard Class,Consumer,United States,Arlington,Texas,76017.0,Central,Furniture,Tables,918.785,5.0,0.3,-118.1295,-0.12857142857142856,sales
Same Day,Corporate,United States,Burlington,North Carolina,27217.0,South,Technology,Machines,7999.98,4.0,0.5,-3839.9904,-0.48000000000000004,sales
First Class,Consumer,United States,New York City,New York,10035.0,East,Furniture,Bookcases,883.92,5.0,0.2,-110.49,-0.125,sales
Standard Class,Corporate,United States,Detroit,Michigan,48205.0,Central,Furniture,Tables,1652.94,3.0,0.0,231.4116,0.13999999999999999,sales
First Class,Consumer,United States,Oceanside,New York,11572.0,East,Furniture,Chairs,542.646,3.0,0.1,102.4998,0.18888888888888888,sales
Same Day,Corporate,United States,San Diego,California,92105.0,West,Furniture,Tables,567.12,10.0,0.2,-28.356,-0.05,sales
First Class,Corporate,United States,San Francisco,California,94110.0,West,Technology,Copiers,1199.976,3.0,0.2,374.9925,0.3125,sales
Second Class,Corporate,United States,Bossier City,Louisiana,71111.0,South,Technology,Accessories,646.74,6.0,0.0,258.696,0.4,sales
Second Class,Corporate,United States,Bossier City,Louisiana,71111.0,South,Office Supplies,Storage,572.58,6.0,0.0,34.3548,0.05999999999999999,sales
Standard Class,Consumer,United States,Arlington,Virginia,22204.0,South,Furniture,Chairs,641.96,2.0,0.0,179.7488,0.27999999999999997,sales
First Class,Home Office,United States,San Francisco,California,94110.0,West,Furniture,Chairs,544.008,3.0,0.2,40.8006,0.075,sales
Same Day,Consumer,United States,Asheville,North Carolina,28806.0,South,Technology,Phones,1363.96,5.0,0.2,85.2475,0.0625,sales
Standard Class,Consumer,United States,Denver,Colorado,80219.0,West,Technology,Phones,1983.968,4.0,0.2,247.996,0.125,sales
First Class,Consumer,United States,Edmonds,Washington,98026.0,West,Furniture,Tables,1298.55,5.0,0.0,311.652,0.24,sales
Same Day,Consumer,United States,Santa Ana,California,92704.0,West,Technology,Accessories,1399.93,7.0,0.0,601.9699,0.43,sales
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19140.0,East,Furniture,Chairs,1228.465,5.0,0.3,0.0,0.0,sales
First Class,Home Office,United States,Philadelphia,Pennsylvania,19143.0,East,Office Supplies,Binders,1141.47,5.0,0.7,-760.98,-0.6666666666666666,sales
Second Class,Home Office,United States,New York City,New York,10024.0,East,Furniture,Chairs,1242.9,5.0,0.1,262.39,0.21111111111111108,sales
First Class,Home Office,United States,Detroit,Michigan,48227.0,Central,Technology,Phones,543.92,8.0,0.0,135.98,0.25,sales
Standard Class,Home Office,United States,Jackson,Michigan,49201.0,Central,Technology,Phones,1199.8,4.0,0.0,323.946,0.27,sales
Standard Class,Home Office,United States,Jackson,Michigan,49201.0,Central,Technology,Accessories,1928.78,7.0,0.0,829.3754,0.43,sales
Standard Class,Corporate,United States,San Antonio,Texas,78207.0,Central,Furniture,Chairs,797.944,4.0,0.3,-56.996,-0.07142857142857144,sales
Standard Class,Corporate,United States,New York City,New York,10011.0,East,Office Supplies,Binders,841.568,2.0,0.2,294.5488,0.35000000000000003,sales
Standard Class,Corporate,United States,Torrance,California,90503.0,West,Furniture,Tables,1114.272,4.0,0.2,41.7852,0.037500000000000006,sales
Standard Class,Consumer,United States,Seattle,Washington,98105.0,West,Office Supplies,Storage,540.57,3.0,0.0,140.5482,0.26,sales
Standard Class,Home Office,United States,Philadelphia,Pennsylvania,19120.0,East,Furniture,Furnishings,516.488,7.0,0.2,-12.9122,-0.024999999999999998,sales
Standard Class,Home Office,United States,Philadelphia,Pennsylvania,19120.0,East,Furniture,Furnishings,1007.232,6.0,0.2,75.5424,0.075,sales
Standard Class,Home Office,United States,Philadelphia,Pennsylvania,19120.0,East,Furniture,Tables,2065.32,12.0,0.4,-619.596,-0.3,sales
First Class,Home Office,United States,New York City,New York,10011.0,East,Office Supplies,Storage,501.81,3.0,0.0,0.0,0.0,sales
First Class,Corporate,United States,Detroit,Michigan,48205.0,Central,Technology,Machines,3059.982,2.0,0.1,679.996,0.2222222222222222,sales
Standard Class,Consumer,United States,New York City,New York,10035.0,East,Furniture,Chairs,599.292,6.0,0.1,93.2232,0.15555555555555556,sales
Second Class,Consumer,United States,Louisville,Colorado,80027.0,West,Technology,Phones,559.984,2.0,0.2,55.9984,0.09999999999999999,sales
Second Class,Consumer,United States,Louisville,Colorado,80027.0,West,Furniture,Chairs,603.92,5.0,0.2,75.49,0.125,sales
Standard Class,Corporate,United States,Auburn,New York,13021.0,East,Furniture,Furnishings,520.05,5.0,0.0,72.807,0.14,sales
Second Class,Home Office,United States,Jacksonville,Florida,32216.0,South,Furniture,Chairs,1166.92,5.0,0.2,131.2785,0.1125,sales
Standard Class,Corporate,United States,Virginia Beach,Virginia,23464.0,South,Office Supplies,Binders,2715.93,7.0,0.0,1276.4871,0.47000000000000003,sales
Standard Class,Corporate,United States,Virginia Beach,Virginia,23464.0,South,Technology,Phones,617.97,3.0,0.0,173.0316,0.27999999999999997,sales
Same Day,Consumer,United States,New York City,New York,10024.0,East,Technology,Accessories,2309.65,7.0,0.0,762.1845,0.32999999999999996,sales
Same Day,Consumer,United States,New York City,New York,10024.0,East,Furniture,Tables,1090.782,7.0,0.4,-290.8752,-0.2666666666666667,sales
Second Class,Consumer,United States,Seattle,Washington,98103.0,West,Furniture,Tables,1618.37,13.0,0.0,356.0414,0.22000000000000003,sales
Standard Class,Corporate,United States,New York City,New York,10011.0,East,Office Supplies,Storage,601.65,5.0,0.0,156.429,0.26,sales
Standard Class,Consumer,United States,Washington,District of Columbia,20016.0,East,Furniture,Chairs,1267.53,3.0,0.0,316.8825,0.25,sales
Standard Class,Consumer,United States,Washington,District of Columbia,20016.0,East,Technology,Machines,1379.92,8.0,0.0,648.5624,0.47,sales
Standard Class,Corporate,United States,Hackensack,New Jersey,7601.0,East,Furniture,Chairs,854.94,3.0,0.0,213.735,0.25,sales
Standard Class,Home Office,United States,Saint Peters,Missouri,63376.0,Central,Furniture,Tables,697.16,4.0,0.0,146.4036,0.21000000000000002,sales
Second Class,Consumer,United States,New York City,New York,10035.0,East,Furniture,Bookcases,722.352,3.0,0.2,90.294,0.125,sales
Standard Class,Consumer,United States,Miami,Florida,33142.0,South,Technology,Phones,1363.96,5.0,0.2,85.2475,0.0625,sales
Second Class,Consumer,United States,San Francisco,California,94109.0,West,Technology,Phones,1113.504,12.0,0.2,125.2692,0.1125,sales
Standard Class,Corporate,United States,Detroit,Michigan,48227.0,Central,Furniture,Chairs,1106.91,9.0,0.0,121.7601,0.10999999999999999,sales
Standard Class,Consumer,United States,Yonkers,New York,10701.0,East,Furniture,Tables,836.592,8.0,0.4,-264.9208,-0.31666666666666665,sales
Standard Class,Consumer,United States,Yonkers,New York,10701.0,East,Technology,Machines,4899.93,7.0,0.0,2400.9657,0.49,sales
Standard Class,Consumer,United States,Roswell,Georgia,30076.0,South,Technology,Accessories,619.95,5.0,0.0,111.591,0.17999999999999997,sales
Standard Class,Consumer,United States,Jonesboro,Arkansas,72401.0,South,Technology,Phones,699.93,7.0,0.0,181.9818,0.26,sales
Standard Class,Consumer,United States,Jonesboro,Arkansas,72401.0,South,Furniture,Chairs,1067.94,3.0,0.0,224.2674,0.21,sales
Standard Class,Consumer,United States,Los Angeles,California,90045.0,West,Technology,Machines,686.32,2.0,0.2,223.054,0.32499999999999996,sales
Same Day,Consumer,United States,Lansing,Michigan,48911.0,Central,Office Supplies,Appliances,644.076,2.0,0.1,107.346,0.16666666666666666,sales
Same Day,Consumer,United States,Lansing,Michigan,48911.0,Central,Technology,Copiers,599.98,2.0,0.0,209.993,0.35,sales
First Class,Home Office,United States,Harrisonburg,Virginia,22801.0,South,Furniture,Tables,2244.48,7.0,0.0,493.7856,0.22,sales
Standard Class,Consumer,United States,Lakewood,New Jersey,8701.0,East,Technology,Phones,1322.93,7.0,0.0,357.1911,0.27,sales
Second Class,Home Office,United States,Los Angeles,California,90036.0,West,Technology,Phones,889.536,8.0,0.2,66.7152,0.075,sales
Second Class,Home Office,United States,Los Angeles,California,90036.0,West,Furniture,Chairs,892.224,3.0,0.2,89.2224,0.09999999999999999,sales
Standard Class,Consumer,United States,Houston,Texas,77041.0,Central,Office Supplies,Binders,1088.792,4.0,0.8,-1850.9464,-1.7000000000000002,sales
Standard Class,Corporate,United States,Denver,Colorado,80219.0,West,Furniture,Chairs,544.008,3.0,0.2,40.8006,0.075,sales
Standard Class,Corporate,United States,Denver,Colorado,80219.0,West,Furniture,Chairs,854.352,3.0,0.2,10.6794,0.012499999999999999,sales
Standard Class,Corporate,United States,Denver,Colorado,80219.0,West,Office Supplies,Storage,593.568,2.0,0.2,0.0,0.0,sales
Second Class,Corporate,United States,New York City,New York,10009.0,East,Furniture,Bookcases,579.136,4.0,0.2,21.7176,0.037500000000000006,sales
Standard Class,Corporate,United States,Philadelphia,Pennsylvania,19134.0,East,Technology,Phones,1931.958,7.0,0.4,-386.3916,-0.19999999999999998,sales
First Class,Corporate,United States,Cincinnati,Ohio,45231.0,East,Technology,Copiers,839.988,2.0,0.4,69.999,0.08333333333333333,sales
Second Class,Consumer,United States,Fresno,California,93727.0,West,Furniture,Tables,764.688,6.0,0.2,95.586,0.125,sales
Second Class,Consumer,United States,Fresno,California,93727.0,West,Furniture,Tables,3610.848,12.0,0.2,135.4068,0.0375,sales
Standard Class,Consumer,United States,New York City,New York,10009.0,East,Furniture,Chairs,1141.938,9.0,0.1,139.5702,0.1222222222222222,sales
Standard Class,Consumer,United States,New York City,New York,10009.0,East,Office Supplies,Appliances,1704.56,13.0,0.0,511.368,0.3,sales
Standard Class,Consumer,United States,Milwaukee,Wisconsin,53209.0,Central,Technology,Phones,1099.96,4.0,0.0,285.9896,0.26,sales
Second Class,Home Office,United States,Charlotte,North Carolina,28205.0,South,Office Supplies,Storage,540.048,3.0,0.2,-47.2542,-0.0875,sales
Standard Class,Consumer,United States,Jacksonville,Florida,32216.0,South,Technology,Phones,863.88,3.0,0.2,107.985,0.125,sales
Standard Class,Consumer,United States,Pueblo,Colorado,81001.0,West,Office Supplies,Appliances,845.728,13.0,0.2,84.5728,0.1,sales
Second Class,Consumer,United States,Springfield,Virginia,22153.0,South,Furniture,Furnishings,572.76,6.0,0.0,166.1004,0.29000000000000004,sales
Standard Class,Corporate,United States,Los Angeles,California,90032.0,West,Office Supplies,Supplies,579.3,5.0,0.0,28.965,0.05,sales
Standard Class,Corporate,United States,Deltona,Florida,32725.0,South,Technology,Phones,575.92,2.0,0.2,71.99,0.125,sales
Standard Class,Consumer,United States,Middletown,Connecticut,6457.0,East,Office Supplies,Storage,552.56,4.0,0.0,0.0,0.0,sales
Second Class,Consumer,United States,New York City,New York,10011.0,East,Technology,Phones,677.58,3.0,0.0,176.1708,0.26,sales
First Class,Corporate,United States,Jacksonville,North Carolina,28540.0,South,Technology,Machines,695.7,2.0,0.5,-27.828,-0.039999999999999994,sales
First Class,Corporate,United States,Tucson,Arizona,85705.0,West,Furniture,Chairs,899.136,4.0,0.2,-146.1096,-0.1625,sales
Standard Class,Consumer,United States,Colorado Springs,Colorado,80906.0,West,Furniture,Bookcases,590.058,7.0,0.7,-786.744,-1.3333333333333335,sales
Standard Class,Consumer,United States,Provo,Utah,84604.0,West,Furniture,Tables,912.75,5.0,0.0,118.6575,0.13,sales
Second Class,Consumer,United States,Pleasant Grove,Utah,84062.0,West,Office Supplies,Appliances,1089.75,3.0,0.0,305.13,0.27999999999999997,sales
Standard Class,Corporate,United States,Aurora,Illinois,60505.0,Central,Furniture,Tables,652.45,5.0,0.5,-430.617,-0.66,sales
First Class,Corporate,United States,Houston,Texas,77041.0,Central,Technology,Phones,946.344,7.0,0.2,118.293,0.125,sales
Second Class,Consumer,United States,Florence,Alabama,35630.0,South,Furniture,Chairs,1819.86,14.0,0.0,163.7874,0.09,sales
Same Day,Consumer,United States,Amarillo,Texas,79109.0,Central,Furniture,Chairs,2453.43,5.0,0.3,-350.49,-0.14285714285714288,sales
Standard Class,Consumer,United States,Chicago,Illinois,60623.0,Central,Technology,Phones,1979.928,9.0,0.2,148.4946,0.075,sales
First Class,Corporate,United States,Mobile,Alabama,36608.0,South,Technology,Machines,3040.0,8.0,0.0,1459.2,0.48000000000000004,sales
First Class,Corporate,United States,Pasadena,Texas,77506.0,Central,Furniture,Chairs,1024.716,6.0,0.3,-29.2776,-0.028571428571428574,sales
Standard Class,Corporate,United States,Detroit,Michigan,48234.0,Central,Furniture,Chairs,872.94,3.0,0.0,226.9644,0.26,sales
Standard Class,Home Office,United States,Los Angeles,California,90008.0,West,Technology,Phones,1212.848,7.0,0.2,106.1242,0.08750000000000001,sales
Standard Class,Corporate,United States,New York City,New York,10035.0,East,Furniture,Chairs,977.292,6.0,0.1,173.7408,0.17777777777777778,sales
Standard Class,Consumer,United States,Austin,Texas,78745.0,Central,Office Supplies,Storage,540.048,3.0,0.2,-47.2542,-0.0875,sales
Standard Class,Home Office,United States,Los Angeles,California,90004.0,West,Furniture,Tables,1004.976,6.0,0.2,-175.8708,-0.17500000000000002,sales
Second Class,Consumer,United States,North Las Vegas,Nevada,89031.0,West,Furniture,Tables,1669.6,4.0,0.0,116.872,0.07,sales
Second Class,Consumer,United States,Everett,Massachusetts,2149.0,East,Furniture,Bookcases,782.94,3.0,0.0,203.5644,0.26,sales
Second Class,Corporate,United States,Watertown,New York,13601.0,East,Furniture,Bookcases,1573.488,7.0,0.2,196.686,0.125,sales
First Class,Consumer,United States,New York City,New York,10011.0,East,Technology,Copiers,559.992,1.0,0.2,174.9975,0.3125,sales
Same Day,Consumer,United States,New York City,New York,10011.0,East,Furniture,Tables,1044.63,5.0,0.4,-295.9785,-0.2833333333333333,sales
First Class,Consumer,United States,Los Angeles,California,90004.0,West,Furniture,Chairs,603.92,5.0,0.2,-67.941,-0.11250000000000002,sales
First Class,Consumer,United States,El Paso,Texas,79907.0,Central,Furniture,Chairs,763.28,5.0,0.3,-21.808,-0.02857142857142857,sales
First Class,Consumer,United States,New York City,New York,10024.0,East,Office Supplies,Binders,1217.568,2.0,0.2,456.588,0.375,sales
First Class,Consumer,United States,New York City,New York,10024.0,East,Technology,Phones,979.95,5.0,0.0,274.386,0.28,sales
First Class,Corporate,United States,New York City,New York,10011.0,East,Furniture,Furnishings,547.3,13.0,0.0,175.136,0.32,sales
Standard Class,Corporate,United States,Oakland,California,94601.0,West,Office Supplies,Storage,1000.02,7.0,0.0,290.0058,0.29000000000000004,sales
Standard Class,Consumer,United States,Kent,Washington,98031.0,West,Office Supplies,Labels,786.48,8.0,0.0,385.3752,0.49,sales
Standard Class,Consumer,United States,Los Angeles,California,90049.0,West,Technology,Phones,675.96,5.0,0.2,84.495,0.125,sales
Standard Class,Consumer,United States,Los Angeles,California,90049.0,West,Technology,Accessories,1265.85,3.0,0.0,556.974,0.44000000000000006,sales
Standard Class,Home Office,United States,New York City,New York,10011.0,East,Office Supplies,Appliances,523.25,5.0,0.0,141.2775,0.27,sales
Standard Class,Consumer,United States,Lafayette,Louisiana,70506.0,South,Furniture,Chairs,517.5,6.0,0.0,155.25,0.3,sales
Same Day,Consumer,United States,Cleveland,Ohio,44105.0,East,Office Supplies,Storage,1006.056,3.0,0.2,88.0299,0.0875,sales
Standard Class,Consumer,United States,Tigard,Oregon,97224.0,West,Office Supplies,Storage,669.08,5.0,0.2,-167.27,-0.25,sales
First Class,Corporate,United States,Seattle,Washington,98115.0,West,Office Supplies,Storage,1247.64,3.0,0.0,349.3392,0.27999999999999997,sales
First Class,Corporate,United States,Seattle,Washington,98115.0,West,Technology,Copiers,3149.93,7.0,0.0,1480.4671,0.47000000000000003,sales
Standard Class,Corporate,United States,Philadelphia,Pennsylvania,19143.0,East,Technology,Phones,677.58,5.0,0.4,-158.102,-0.23333333333333334,sales
Standard Class,Consumer,United States,New York City,New York,10011.0,East,Furniture,Tables,1018.104,4.0,0.4,-373.3048,-0.36666666666666664,sales
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19143.0,East,Furniture,Tables,853.092,6.0,0.4,-227.4912,-0.26666666666666666,sales
Second Class,Consumer,United States,Seattle,Washington,98115.0,West,Furniture,Tables,515.88,6.0,0.0,113.4936,0.22,sales
